姓名,部门,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
员工184,房务部,,,,"17:49
     ",,,,,"07:48
     ","07:52
     ","07:53
     ",,"07:23
17:50","11:35
     ","07:52
     ","07:53
     ","07:57
     ","07:53
     ","07:24
     ","07:54
     ","08:01
     ","08:00
     ","07:59
     ","07:57
     ","08:02
     ","08:00
     ","08:01
     ","17:30
     ","07:59
     ","07:58
17:51",
员工185,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工186,房务部,"07:06
     ","07:13
     ","07:06
     ","07:17
     ","07:02
     ","07:12
     ","07:10
     ","07:26
     ",,"07:20
     ","07:20
     ","07:24
     ","07:20
     ","07:21
     ","07:23
     ","07:22
     ","07:07
18:01","07:23
     ","07:22
     ","07:19
     ","07:17
     ","07:16
     ","07:19
     ","07:20
     ",,"07:22
     ","07:27
     ","07:19
17:50","07:20
     ","07:18
     ","07:23
     "
员工187,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工188,房务部,"07:10
     ",,,"17:38
     ","07:11
     ","07:11
     ","07:38
     ","18:53
     ","19:21
     ",,,,,,,,,,,,"07:09
     ","07:30
     ","07:08
     ","07:19
     ","07:13
     ","07:14
     ","07:16
     ","07:12
     ","07:11
     ","07:12
18:53","07:12
     "
员工189,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工190,房务部,"07:18
     ","07:19
     ","07:19
     ","07:17
     ","07:16
18:53","07:15
     ","07:17
     ",,,,,"07:35
     ","19:21
     ",,,,,,,"18:52
     ",,,,,,"07:19
     ","07:21
     ","07:20
19:20","07:20
     ","07:19
     ","07:16
     "
员工191,房务部,"07:22
     ","07:21
     ","07:25
     ","07:22
     ","07:22
     ","07:21
     ","07:26
     ","07:26
     ","07:25
     ","07:28
     ","07:21
     ","07:23
     ","07:26
     ","07:27
     ","07:21
     ","07:32
     ","07:28
     ","07:25
     ","07:22
     ","07:26
     ","07:20
     ","07:21
     ","07:17
     ","07:25
     ","07:24
     ","12:02
     ","07:21
     ","07:25
     ","07:20
     ","07:23
     ","07:23
     "
员工192,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工193,PA外包,,,,,,,,,,,,,,,,,,,,"12:20
     ",,"17:50
     ",,,,,"18:59
     ",,,,
员工194,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工195,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工196,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工197,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工198,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工199,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工200,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工201,房务部,"07:54
     ","07:57
     ","08:01
     ",,"07:54
     ","07:58
     ","07:56
     ",,"07:25
     ",,"18:18
     ","07:59
17:54","08:00
     ","07:57
     ","07:52
     ",,"17:38
     ","07:53
     ","07:24
     ","07:54
     ","08:01
     ","07:59
17:54","07:58
     ","07:25
     ","08:02
     ","07:58
     ","08:01
     ","07:57
     ","07:56
     ","07:56
     ",
员工202,房务部,"07:32
19:20",,"17:59
     ","07:29
18:50","07:38
     ","07:14
18:50","07:30
     ","07:40
18:26","07:33
18:53","07:18
     ","07:13
19:21",,,"07:35
     ",,"07:38
     ","07:16
     ","18:29
     ","07:15
     ",,"07:33
18:53","07:39
     ",,"19:22
     ",,"07:35
     ",,"07:13
     ",,"07:33
     ",
员工203,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工204,房务部,"12:20
18:36","12:31
     ",,"07:24
     ",,"07:21
     ","07:45
     ","07:41
     ",,,"18:30
     ",,"07:43
     ","07:42
     ",,"07:23
     ","11:57
19:00","13:04
     ","07:42
     ",,"11:12
     ",,"07:21
19:21",,"07:23
     ",,"12:00
18:24","07:24
19:21",,,
员工205,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工206,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工207,房务部,,,,,"19:19
     ",,,,"17:35
     ",,,,,,,,,,,,,,,,"19:20
     ",,,"19:20
     ",,,
员工208,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工209,房务部,,,,"11:29
17:35",,"18:51
     ",,"07:54
     ","07:50
     ",,,,"17:50
     ",,"07:58
     ","17:52
     ","07:57
     ",,,,"17:50
     ","17:50
     ","18:52
     ",,"18:52
     ",,"18:29
     ","17:49
     ","18:31
     ",,"17:50
     "
员工210,房务部,,,,,,,,,,,,,,,,,,,,,,,"08:00
     ","17:34
     ",,,,,,"19:04
     ","18:17
     "
员工211,客房部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工212,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工213,客房部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工214,客房部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工215,客房部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工216,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工217,PA外包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工218,房务部,"07:27
     ","07:29
     ","07:29
     ","07:27
     ","07:27
     ","07:30
     ","07:32
     ","07:26
     ","07:27
     ",,"07:26
     ","07:34
     ","07:34
     ","07:31
     ","07:30
     ","07:35
     ","07:32
     ","07:30
     ","07:30
     ","07:36
     ","07:28
     ","07:28
     ","07:29
     ","07:30
     ","07:26
     ","12:02
18:24","07:29
     ","07:30
     ","07:31
     ","07:30
     ","07:27
     "
员工219,房务部,,"08:05
     ",,,,,,,,,,,,,,,,,,,"08:01
     ",,"08:03
     ",,"08:01
     ","08:04
     ","08:00
     ","08:00
     ","07:58
     ",,
员工220,房务部,,"07:41
     ","07:44
18:52","07:33
     ","07:24
18:51","07:46
     ","07:42
     ","07:39
     ","07:22
     ",,"07:45
18:52",,"07:42
     ","07:43
18:28","12:09
17:49","07:40
     ","07:44
18:31","07:35
     ","07:32
     ","07:37
     ","07:39
17:51","07:43
     ","07:35
17:50",,"07:37
18:29","07:42
17:50","17:48
     ","07:46
18:30","07:47
18:30","07:44
     ","07:45
     "
员工221,房务部,"07:26
     ","07:25
     ","07:25
     ","07:38
     ","07:33
     ","07:31
     ","07:56
11:26","11:57
18:00","07:33
     ","07:35
     ","07:28
     ","07:31
     ","07:32
     ","07:28
     ","07:29
     ","07:36
     ","07:31
     ","07:30
     ","07:32
     ","07:33
     ","07:12
     ","07:50
11:10","07:26
     ","07:16
     ","07:25
     ","07:20
     ","07:34
     ","07:16
     ","07:31
     ","07:30
     ","07:28
     "
员工222,,,,,,,,"17:45
     ",,,,,,,,,,,,,,,"18:27
     ",,,,,,,,,
员工223,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工224,房务部,"07:30
     ","07:21
     ","07:29
     ","07:27
     ","07:35
     ","07:29
     ","08:08
11:34","11:50
18:02","07:29
     ","07:32
     ","07:33
     ","07:35
     ","07:34
     ","07:33
     ","07:33
     ","07:45
     ","07:29
     ","07:33
     ","07:25
     ","07:31
     ","07:20
     ","07:40
11:12","07:15
     ","07:20
     ","07:22
     ","07:28
     ","07:34
     ","07:26
     ","07:25
     ","07:27
     ","07:27
     "
员工225,房务部,"07:29
     ","07:19
     ","07:28
     ","07:39
     ",,,,,,,,"17:54
     ","08:11
     ",,,,,,,,"07:21
     ","07:22
     ",,,"07:26
     ",,"07:36
     ","07:35
     ","07:29
     ","07:31
     ","07:27
     "
员工226,销售部,,,"08:05
     ",,,,,,,,,,,,,,,,,,,,,,,"17:58
     ",,,,,
员工227,房务部,,"08:05
     ",,,,"07:59
     ",,,,,"07:17
     ",,"07:55
     ","08:04
     ","07:54
     ","06:44
     ","07:35
     ","07:37
     ","07:36
     ",,"08:01
     ","07:58
     ",,"06:55
     ",,"08:04
     ",,"08:01
     ",,"07:13
     ",
员工228,房务部,"08:23
     ",,"08:07
     ",,"08:11
     ",,,"08:08
18:47","08:11
     ","08:08
     ","08:14
     ","08:14
     ","08:16
     ","08:14
     ","08:11
     ","08:12
     ","08:16
     ","08:16
     ","08:08
     ","08:14
     ","08:11
     ","08:13
     ",,,,"08:16
     ","08:13
     ","08:16
     ","08:07
     ","08:11
     ","08:16
     "
员工229,房务部,,,,,,,,,,,,,,,,,,,,"11:32
     ",,,,,,,,,,,
员工230,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工231,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工232,管事部,,"18:21
     ","18:32
     ","18:24
     ","18:01
     ",,"07:32
     ","18:14
     ","18:17
     ","18:19
     ","18:19
     ","18:04
     ",,"18:16
     ","07:47
     ","07:48
     ","08:02
     ","08:01
     ","07:41
     ",,,"08:16
     ","08:22
     ",,,"11:44
     ","07:39
     ",,,,
员工233,中厨房,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工234,西厨房,,,,,,"18:06
     ",,,"18:03
     ",,,,,,,,,,,,,,,,,,,,,,
员工235,前厅部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工236,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工237,销售部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工238,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工239,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工240,餐饮部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工241,房务部,,,,"12:46
     ",,,"11:41
     ",,,,"17:30
     ","18:11
     ","18:27
     ","18:35
     ","18:52
     ","18:35
     ","12:38
18:47","18:14
     ",,,,,,,,,,"18:03
     ","18:34
     ","18:30
     ",
员工242,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工243,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工244,餐饮部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工245,餐饮部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工246,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工247,房务部,"07:15
12:08","07:17
12:10","07:17
17:44","07:15
17:41","07:17
17:31","07:17
11:53","07:19
11:38","07:20
17:32","07:18
17:29","07:16
18:33","07:18
17:30","07:39
     ","07:38
17:27","07:41
     ","07:43
     ","07:43
     ","07:41
     ","07:38
     ","07:39
     ","07:40
12:47","07:39
12:52","07:40
     ","07:40
12:35","08:25
12:47","07:40
17:31","07:16
17:28","07:18
17:43","12:21
12:24","07:15
12:19","07:12
11:43","07:10
11:58"
员工248,,"17:34
     ","17:40
     ",,,,"17:37
     ","17:32
     ",,,,,,,,,,,,,,,,,,,,,"17:31
     ","17:31
     ","17:41
     ","17:36
     "
员工249,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工250,餐饮部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工251,销售部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工252,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工253,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工254,销售部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工255,销售部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工256,房务部,,,,,,"19:22
     ",,"07:54
     ","07:50
     ",,,,"17:50
     ",,"07:58
     ","17:51
     ","07:57
     ","17:51
     ","17:49
     ","07:46
18:29","07:19
17:49","17:51
     ",,,,,"18:29
     ","17:49
     ","18:31
     ",,"17:50
     "
员工257,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工258,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工259,销售部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工260,餐饮部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工261,餐饮部,"18:32
     ","17:54
     ","17:54
     ","18:24
     ","18:25
     ","18:21
     ","18:31
     ","18:18
     ","17:58
     ","18:28
     ","18:20
     ","18:42
     ","18:35
     ","17:38
     ",,,,,,,"18:11
     ","18:27
     ","18:24
     ","18:15
     ","18:27
     ","18:24
     ","17:44
     ","18:19
     ","18:23
     ","18:33
     ","18:33
     "
员工262,房务部,"18:30
     ","17:53
     ","17:54
     ","18:25
     ","18:25
     ","18:22
     ","18:31
     ","18:18
     ","17:58
     ","18:28
     ","18:20
     ","18:42
     ","18:35
     ","17:57
     ","18:18
     ","18:54
     ","18:30
     ","17:52
     ","18:27
     ","18:01
     ","18:11
     ","18:27
     ","18:25
     ","18:16
     ","18:27
     ","18:24
     ","17:44
     ","18:20
     ","18:23
     ","18:32
     ","18:32
     "
员工263,餐饮部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工264,餐饮部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工265,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工266,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工267,保安部,,,,,,,,,,,,"12:25
     ",,"18:12
     ","12:27
     ",,,,"12:00
     ","18:30
     ","08:23
     ","08:23
     ",,,"08:24
     ","08:25
     ","08:24
     ","08:27
     ","08:02
     ","08:24
     ",
员工268,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工269,房务部,,,,"18:28
     ",,,,"18:27
     ",,,,,,,"18:18
     ",,,,,,,,,,,,,,,,
员工270,保安部,,"18:53
     ",,,,,,,"12:31
17:54",,,,,,,,,"18:05
     ",,,,,,,,"12:42
17:40","08:24
17:50","08:26
17:39","17:47
     ",,
员工271,房务部,,,,,,,,"18:29
     ",,,"08:26
     ",,,,"18:07
     ",,,,"12:27
     ","18:30
     ",,,,,,,,,,,
员工272,房务部,,"12:13
     ",,,,,,,"17:54
     ",,"11:52
     ",,,,"18:06
     ",,"18:25
     ",,,,,,,,,,,,"18:01
     ",,
员工273,房务部,,,,"12:41
     ",,,,,,,,,,,,,,,,,,,,,,,,,,,
员工274,房务部,,,,,,,,,,"18:21
     ","07:05
     ",,"07:09
     ",,,"12:37
     ",,,,"17:56
     ",,,,,,,,,,,
员工275,房务部,,,,,,,,,,,"07:06
     ","11:12
     ",,,,,,"11:35
18:05","08:31
11:56","17:32
     ",,,,,,,,,,,
员工276,,,,,,,,,,,,,,,,,,,,"17:39
     ",,,,,,,,,,,,
员工277,房务部,,,,,,,,,,,,"11:58
     ","13:06
     ","07:03
18:33",,,,"18:33
     ",,,,,,,,,,,,,
员工278,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工279,人事部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工280,客房部,"07:15
11:26","07:13
     ","07:15
     ","07:13
     ","07:08
     ","07:12
     ","07:21
     ","07:27
     ",,,"07:23
     ","07:12
     ","07:14
     ","07:19
     ","07:19
11:07","07:23
11:12","07:34
     ","07:13
     ","07:13
     ","07:18
     ","07:15
     ","07:12
     ","07:17
     ","08:14
18:15","07:14
11:31","07:13
     ","07:14
     ","07:05
     ","07:15
     ","07:12
     ","07:11
     "
员工281,,"17:29
     ",,,,,,,,,,,,,,"17:46
     ","17:43
     ",,,,,,,,,"17:39
     ",,,,,,
员工282,人事部,,,,"12:42
17:53","08:31
18:21",,,,,,,,,,,,,,,,"08:07
12:19","11:46
18:20",,,,,,"08:09
12:23","13:04
18:49",,
员工283,,,,,,,,,,,,,,,,,,,,,,"18:28
     ",,,,,,,"18:24
     ",,,
员工284,人事部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工285,房务部,,,,,,"12:43
     ","12:47
18:36",,"12:27
18:28",,,,"18:36
     ","18:31
     ","11:56
     ",,"11:59
18:16","18:33
     ","18:36
     ",,,,"11:48
18:27",,,"18:42
     ","11:39
18:14",,,"12:02
18:20",
员工286,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工287,西厨房,,"08:13
11:58","08:20
11:53","08:27
11:47","08:24
17:41",,,"08:02
11:29","08:28
17:43","08:30
11:22","08:30
11:58","08:17
11:45",,,"08:11
11:41","08:15
11:14","08:23
17:40","08:30
11:53","08:27
11:28","08:18
11:21","08:22
11:43","08:17
11:45",,,"08:06
17:38","08:26
10:16","08:30
12:02","08:29
17:26","08:25
11:59",,
员工288,,,"17:27
     ","17:32
     ","17:40
     ",,,,"17:40
     ",,,"17:43
     ","12:52
17:29",,,"17:36
     ","17:24
     ",,"17:27
18:03","17:35
     ","17:32
     ","17:33
     ","17:32
     ",,,,"11:34
17:39","17:27
     ",,"17:59
     ",,
员工289,人事部,,,,,,,,,,"17:53
     ",,,,"18:31
     ","18:56
     ",,,,,,,,"18:30
     ",,,,"18:24
     ","18:37
     ","18:46
     ","18:26
     ",
员工290,房务部,,,,"11:58
     ",,,,,,,"12:38
     ","12:03
     ",,,,,,,"11:46
     ","12:22
     ","12:50
     ","11:45
     ",,,,,,"11:40
     ",,,
员工291,人事部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工292,人事部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工293,人事部,"18:35
     ","12:15
18:30","11:58
18:11",,,"18:28
     ","18:36
     ","18:27
     ","12:55
18:27","12:46
18:17",,,"18:25
     ",,"18:30
     ","12:38
18:32","11:59
18:17",,"18:41
     ","18:25
     ","12:24
18:27",,"18:27
     ",,"18:18
     ","12:57
18:42","11:54
18:16",,,"18:20
     ",
员工294,人事部,,,,,"18:17
     ","18:29
     ","11:42
     ",,,,"12:02
17:31",,,"11:34
18:10",,,,"18:33
     ","11:41
18:36",,"18:20
     ","12:22
18:27",,,,,,,"11:58
     ",,
员工295,人事部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工296,人事部,,"18:12
     ","11:32
18:06","07:51
     ","07:51
     ","07:52
     ","07:53
     ","07:54
     ","07:53
     ","07:52
     ","07:53
     ","07:52
     ","07:51
     ","07:52
     ","07:52
     ","07:51
     ","07:52
     ","07:16
17:29","07:52
     ","07:50
     ","07:50
     ","07:55
     ","07:51
     ","07:53
     ","07:53
     ","07:53
     ","07:53
     ",,"07:52
     ","07:20
11:36",
员工297,人事部,"18:34
     ",,"11:44
17:46","12:36
     ",,"12:43
     ","12:29
17:38",,,"17:43
     ",,,,,,,"18:19
     ",,,,,,"18:49
     ",,,,,,,"18:47
     ",
员工298,人事部,,,,,,,,,,,,,,,"11:59
17:53",,,,,,,,,,,"18:09
     ",,,,,
员工299,人事部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工300,房务部,,,,,"18:52
     ","18:28
     ",,,"18:33
     ","11:59
18:20","18:29
     ",,,,,,,,,,,,"12:27
18:56","17:52
     ",,,"18:23
     ","18:29
     ",,,
员工301,人事部,"18:34
     ","18:30
     ","18:11
     ","18:12
     ",,,,,"18:28
     ","18:17
     ","18:08
     ",,"18:25
     ","12:41
18:13",,,"18:17
     ","12:47
18:11","18:13
     ",,,,"12:51
18:27","12:48
17:33","18:18
     ",,"18:16
     ",,,"12:13
18:20","12:12
18:12"
员工302,人事部,,,,,"18:31
     ","18:28
     ",,,"17:45
     ",,,,"18:25
     ",,"12:41
17:58","18:32
     ",,,"18:41
     ","12:22
18:25",,,"12:51
18:27",,,,"12:54
18:16","18:29
     ",,,
员工303,人事部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工304,人事部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工305,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工306,工程部,,"12:40
18:15","07:39
12:36",,,,,"08:07
     ","08:09
     ",,,"18:13
     ",,,,,,,,"11:17
     ","08:00
     ",,,,,,,,,,
员工307,,,,"18:12
     ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工308,工程部,,,,,"18:44
     ",,,,,,,,,,,,,,,"17:59
     ",,,,,,,,,,,
员工309,工程部,"08:29
11:33","08:35
12:55",,,,,,,"08:29
12:20","11:45
18:08",,,,,,,"08:39
     ",,"18:24
     ","08:32
18:10","17:57
     ",,,,"17:27
     ",,"18:34
     ",,,,
员工310,,,"18:18
     ",,,,,,,"18:01
     ",,,,,,,,,,,,,,,,,,,,,,
员工311,工程部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工312,工程部,"07:37
     ","07:38
     ","17:43
     ",,,,"12:49
     ","07:41
     ","07:41
     ",,"17:50
     ",,,,"17:47
     ",,"17:51
     ",,"18:29
     ",,,"11:50
     ",,,,"17:27
     ",,,,,"07:38
     "
员工313,工程部,,,"18:25
     ","17:49
     ","11:18
18:08","07:16
17:59",,,,,,"06:56
12:31","06:40
12:35",,,,"06:54
18:57","18:29
     ","18:29
     ","17:50
     ","18:30
     ","06:57
12:55","07:51
12:19",,,"07:11
     ",,"17:53
     ","12:57
17:58",,
员工314,,,,,,,,,,,,,"17:34
     ",,,,,,,,,,,"17:38
     ",,,,,,,,
员工315,房务部,"08:02
17:51","07:52
     ","11:30
17:38","11:21
     ","11:12
18:04","11:50
17:48","11:09
     ","08:12
     ","11:27
     ","11:29
     ","11:49
17:42","11:19
     ","11:07
17:45",,"11:16
     ","11:13
     ","11:36
     ","11:28
18:07","08:03
11:53","11:14
17:38",,"07:19
     ",,"11:09
18:07",,"17:41
     ","17:38
     ","17:44
     ","11:55
17:29","11:11
     ","08:19
     "
员工316,,,,,,,,,,,,,,,,,,,,"18:03
     ",,,,,,,,,,,,
员工317,工程部,,,,,,,,,,,"17:36
     ","19:14
     ",,,,,"18:42
     ",,,,"17:29
     ",,,,,,,,"17:27
     ",,
员工318,工程部,,,"19:12
     ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工319,人事部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工320,工程部,,,,,,,,,,,,"08:38
17:29","17:29
     ",,,,,,"17:25
     ",,"08:09
     ",,,,,,"08:36
11:10","17:32
     ",,,
员工321,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17:29
     ",,,,
员工322,工程部,,,,,,,,"07:42
     ","17:43
     ","11:25
     ",,,,,"19:21
     ",,,"08:30
     ","11:58
     ",,"08:28
     ","18:43
     ",,,,,,,,,
员工323,工程部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工324,房务部,,,,"08:09
11:41","08:05
11:45","08:25
11:47",,,,,"08:16
     ","08:03
11:37","07:44
11:30","07:54
11:32",,,,,,"12:01
     ",,,,"17:39
     ",,"08:15
11:34","08:12
11:40","11:35
     ","08:02
11:30","08:04
11:39",
员工325,,,,,,,"17:32
     ",,,,,,,,"17:43
     ",,,,,,,,,,,,,,,"17:30
     ","17:41
     ",
员工326,工程部,,,,"07:29
     ","07:43
     ",,,,,,,,,,,,,"18:29
     ",,,"18:53
     ",,,,,"07:55
     ",,,,,
员工327,工程部,,,,,"12:04
     ",,,"11:33
     ","11:32
17:31",,,"17:31
     ",,"11:32
     ",,"17:28
     ",,,,,,,"11:37
17:36",,,"11:28
17:28","11:30
17:28","17:31
     ",,,
员工328,工程部,"12:24
     ","11:28
     ","12:03
     ","11:40
17:41","11:39
17:48",,"12:15
17:35",,,,"11:42
17:48","17:49
     ","11:50
17:33","11:46
17:32","17:30
     ","17:39
     ",,,,"17:45
     ",,,"17:31
     ","11:25
     ","12:10
     ","11:12
     ","11:19
17:46","11:52
17:34","17:27
     ","17:27
     ","11:30
17:45"
员工329,工程部,,,"08:19
11:57",,,,,,"17:35
     ",,,,,,"11:43
17:44","08:03
17:33",,,,"08:17
11:43",,,,,,"08:11
     ",,,,,
员工330,,,,"17:36
     ",,,,,,,,,,,,,,,,,"17:31
     ",,,,,,,,,,,
员工331,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工332,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工333,房务部,,,,,"17:38
     ",,,,,,"18:32
     ","18:28
     ",,,,,"18:50
     ",,"12:42
     ",,"18:44
     ","18:25
     ",,,,"08:01
     ","17:31
     ","12:38
17:32",,,
员工334,房务部,,"17:37
     ","18:28
     ",,"12:03
     ","12:23
     ",,"12:15
     ","11:53
17:31","17:41
     ","11:29
17:39","17:31
     ",,"17:44
     ",,"17:28
     ","12:08
17:37","17:54
     ",,,,,,,,,,,,,
员工335,房务部,"17:35
     ",,"08:12
     ","17:31
     ","17:33
     ","08:18
     ",,,,"11:39
17:41","17:39
     ","17:31
     ","17:38
     ","11:51
17:44",,"12:20
     ","12:18
     ","12:31
     ","17:34
     ","17:37
     ","11:52
     ","17:29
     ","11:31
     ","12:42
     ","17:29
     ","17:39
     ","17:28
     ","17:31
     ","17:32
     ","08:11
12:06",
员工336,工程部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工337,工程部,"12:10
17:48",,,,,,,,,"18:09
     ",,,,,,,,,,,,"17:37
     ",,,,,,,,,
员工338,房务部,"12:13
18:39","18:43
     ","12:21
18:30",,,,"12:25
18:32","18:23
     ","18:43
     ","18:29
     ",,,,"08:33
12:12","18:22
     ",,,"18:19
     ","18:29
     ","18:28
     ",,,,"18:44
     ",,,,,,,
员工339,,,,,,,,,,,,,,,"18:15
     ",,,,,,,,,,,,,,,,,
员工340,工程部,"18:06
     ","07:43
18:04",,,,,,"11:40
19:15","08:02
11:41","07:53
11:54","11:38
     ","12:26
17:41","07:37
12:36","13:00
18:20","12:15
17:49",,"18:34
     ","17:33
     ","17:39
     ","07:39
17:38","12:07
     ","11:57
     ","07:48
13:04","12:43
     ","08:00
     ","12:39
18:18","17:50
     ","11:31
     ",,,"17:41
     "
员工341,,,,,,,,,,,,,,"17:53
     ",,,,,,,,,,,,,,,,,,
员工342,工程部,,,,,,,,,,"11:18
     ",,,,,,"17:32
     ",,"11:47
     ",,,,,,,,,,,,,
员工343,工程部,"08:11
11:58","11:40
     ","11:48
17:43","11:55
17:31",,"17:32
     ",,"17:34
     ","17:31
     ","08:21
11:40","08:27
11:29","11:29
17:31","11:32
     ","11:32
     ","11:59
     ","12:06
17:28","12:09
17:37",,"17:34
     ",,"11:52
17:33","17:29
     ","17:37
     ",,"17:29
     ","11:28
     ","11:31
     ",,"17:27
     ",,"11:25
     "
员工344,,,,,,,,,,,"17:42
     ","17:39
     ",,,,,,,,,,,,,,,,,,,,
员工345,工程部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工346,工程部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工347,工程部,,,,,,,,,,,,,,,,,,,,,,,"17:29
     ",,,,,,,,
员工348,工程部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工349,工程部,,,,,,,,"07:53
     ",,,,,,,,,,"13:09
     ",,,"12:41
     ",,,,,,"12:15
     ",,,,
员工350,工程部,"11:58
18:31","12:21
17:37","11:47
17:43",,,,,"11:33
17:33","11:32
17:31",,,,,,"11:59
     ","12:06
17:28","12:08
17:38",,,,,,,,"12:10
     ","11:28
17:54",,,,,
员工351,工程部,"18:31
     ","12:21
17:37","11:47
     ",,,,,,,,,,,,"12:23
     ",,,,"18:32
     ",,,"12:14
     ","17:29
     ",,,,,,,,
员工352,保安部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工353,保安部,,,,,,,,,,,,"11:45
     ",,,,,,,,,,,,,,,,,,,
